kind,cardId,presetId,locale,name,description,effect,note,scenario,translationStatus
card,00019789_000000007BBC8D61,,ja,Lightning Swift,バニシングステップ使用後2秒以内に攻撃した敵に、追加のエネルギーダメージを与えます。,バニシングステップ使用後2秒以内に攻撃した敵に、追加のエネルギーダメージを与えます。,発動条件：バニシングステップ使用後。6秒に1回発動可能。,,user-provided-source
card,00019789_000000007BBC8D61,,zh-CN,Lightning Swift,对在使用消失步后2秒内受到攻击的敌人造成额外的能量伤害。,对在使用消失步后2秒内受到攻击的敌人造成额外的能量伤害。,激活条件：使用消失步后。每6秒可激活一次。,,user-provided-source
card,00019789_000000007BBC8D61,,ko,Lightning Swift,배니싱 스텝 사용 후 2초 이내에 공격받은 적에게 추가 에너지 데미지를 입힙니다.,배니싱 스텝 사용 후 2초 이내에 공격받은 적에게 추가 에너지 데미지를 입힙니다.,발동 조건: 배니싱 스텝 사용 후. 6초마다 1회 활성화 가능합니다.,,user-provided-source
card,00019789_000000007BBC8D61,,es,Lightning Swift,Inflige Daño de Energía adicional a los enemigos atacados dentro de los 2 segundos posteriores al uso del Paso Evanescente.,Inflige Daño de Energía adicional a los enemigos atacados dentro de los 2 segundos posteriores al uso del Paso Evanescente.,Activación: Después de usar el Paso Evanescente. Se puede activar una vez cada 6 segundos.,,user-provided-source
card,00019789_000000007BBC8D61,,vi,Lightning Swift,Gây thêm sát thương năng lượng lên kẻ địch bị tấn công trong vòng 2 giây sau khi dùng Bộ Pháp Biến Mất (Vanishing Step).,Gây thêm sát thương năng lượng lên kẻ địch bị tấn công trong vòng 2 giây sau khi dùng Bộ Pháp Biến Mất (Vanishing Step).,Điều kiện kích hoạt: Sau khi dùng Bộ Pháp Biến Mất (Vanishing Step). Có thể kích hoạt một lần mỗi 6 giây.,,translated-from-zh-CN
card,00019798_000000000CBBBDF7,,ja,Super Snowball,敵ヒーローをKOまたはアシストするたびに、すべての攻撃の威力が上昇します。,敵ヒーローをKOまたはアシストするたびに、すべての攻撃の威力が上昇します。,発動条件：敵ヒーローのKOまたはアシスト。1スタックにつき全攻撃力25アップを付与し、最大8スタックまで累積します。KOされると全スタックを失います。,,user-provided-source
card,00019798_000000000CBBBDF7,,zh-CN,Super Snowball,每次击倒敌方英雄或获得助攻时，提升所有攻击的威力。,每次击倒敌方英雄或获得助攻时，提升所有攻击的威力。,激活条件：击倒敌方英雄或助攻。每层增加25点全攻击力，最多可叠加8层。被击倒时失去所有层数。,,user-provided-source
card,00019798_000000000CBBBDF7,,ko,Super Snowball,적 영웅을 KO 시키거나 어시스트할 때마다 모든 공격의 위력이 증가합니다.,적 영웅을 KO 시키거나 어시스트할 때마다 모든 공격의 위력이 증가합니다.,"발동 조건: 적 영웅 KO 또는 어시스트. 스택당 모든 공격력 25 증가를 부여하며, 최대 8스택까지 누적됩니다. KO 당하면 모든 스택을 잃습니다.",,user-provided-source
card,00019798_000000000CBBBDF7,,es,Super Snowball,Aumenta el poder de todos los ataques cada vez que logras un KO o asistencia sobre un héroe enemigo.,Aumenta el poder de todos los ataques cada vez que logras un KO o asistencia sobre un héroe enemigo.,"Activación: KO o asistencia de un héroe enemigo. Otorga 25 de Aumento de Ataque Total por acumulación, hasta 8 acumulaciones. Todas las acumulaciones se pierden al ser noqueado.",,user-provided-source
card,00019798_000000000CBBBDF7,,vi,Super Snowball,"Mỗi khi hạ gục hero địch hoặc nhận hỗ trợ, tăng sức mạnh của mọi đòn tấn công.","Mỗi khi hạ gục hero địch hoặc nhận hỗ trợ, tăng sức mạnh của mọi đòn tấn công.","Điều kiện kích hoạt: Hạ gục hero địch hoặc nhận hỗ trợ. Mỗi tầng tăng 25 điểm Toàn Công, tối đa cộng dồn 8 tầng. Khi bị hạ gục, mất toàn bộ số tầng.",,translated-from-zh-CN
